country,file,stem,recode,women_health_category,women_health_role,phase_version,variables,catalog_filename,survey_id,data_label
Nigéria,NGIR8BFL.dta,NGIR8BFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,8B,6411,NGIR8BDT.zip,609,
Níger,NIIR22FL.DTA,NIIR22FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,22,2702,NIIR22DT.zip,53,
Níger,NIIR31FL.DTA,NIIR31FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,31,2600,NIIR31DT.zip,99,
Níger,NIIR51FL.DTA,NIIR51FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,51,4359,NIIR51DT.zip,277,
Níger,NIIR61FL.DTA,NIIR61FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,61,4321,NIIR61DT.zip,407,
Níger,NIIR82FL.DTA,NIIR82FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,82,1688,NIIR82DT.zip,575,
Quênia,KEIR03FL.DTA,KEIR03FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,03,1644,KEIR03DT.zip,20,
Quênia,KEIR33FL.DTA,KEIR33FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,33,2153,KEIR33DT.zip,56,
Quênia,KEIR3AFL.DTA,KEIR3AFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,3A,2756,KEIR3ADT.zip,115,
Quênia,KEIR42FL.DTA,KEIR42FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,42,4148,KEIR42DT.zip,216,
Quênia,KEIR52FL.DTA,KEIR52FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,52,4339,KEIR52DT.zip,300,
Quênia,KEIR72FL.DTA,KEIR72FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,72,4805,KEIR72DT.zip,451,
Quênia,KEIR7AFL.DTA,KEIR7AFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,7A,1406,KEIR7ADT.zip,493,
Quênia,KEIR81FL.DTA,KEIR81FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,81,1672,KEIR81DT.zip,579,
Quênia,KEIR8CFL.DTA,KEIR8CFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,8C,5925,KEIR8CDT.zip,566,
República Centro-Africana,CFIR31FL.DTA,CFIR31FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,31,3238,CFIR31DT.zip,66,
Ruanda,RWIR21FL.DTA,RWIR21FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,21,2234,RWIR21DT.zip,43,
Ruanda,RWIR41FL.DTA,RWIR41FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,41,3848,RWIR41DT.zip,165,
Ruanda,RWIR53FL.DTA,RWIR53FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,53,4372,RWIR53DT.zip,252,
Ruanda,RWIR5AFL.DTA,RWIR5AFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,5A,3584,RWIR5ADT.zip,323,
Ruanda,RWIR61FL.DTA,RWIR61FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,61,4470,RWIR61DT.zip,364,
Ruanda,RWIR6IFL.DTA,RWIR6IFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,6I,1331,RWIR6IDT.zip,449,
Ruanda,RWIR70FL.DTA,RWIR70FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,70,4572,RWIR70DT.zip,468,
Ruanda,RWIR7AFL.DTA,RWIR7AFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,7A,1351,RWIR7ADT.zip,540,
Ruanda,RWIR81FL.DTA,RWIR81FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,81,5117,RWIR81DT.zip,554,
Ruanda,RWIR8AFL.DTA,RWIR8AFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,8A,810,RWIR8ADT.zip,607,
Ruanda,RWIR91FL.dta,RWIR91FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,91,6070,RWIR91DT.zip,624,
Senegal,SNIR02FL.DTA,SNIR02FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,02,1436,SNIR02DT.zip,3,
Senegal,SNIR21FL.DTA,SNIR21FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,21,2464,SNIR21DT.zip,46,
Senegal,SNIR32FL.DTA,SNIR32FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,32,2461,SNIR32DT.zip,81,
Senegal,SNIR4AFL.DTA,SNIR4AFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,4A,4360,SNIR4ADT.zip,233,
Senegal,SNIR51FL.DTA,SNIR51FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,51,1694,SNIR51DT.zip,293,
Senegal,SNIR5AFL.DTA,SNIR5AFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,5A,3279,SNIR5ADT.zip,338,
Senegal,SNIR61FL.DTA,SNIR61FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,61,4179,SNIR61DT.zip,365,
Senegal,SNIR6DFL.DTA,SNIR6DFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,6D,3779,SNIR6DDT.zip,423,
