country,file,stem,recode,women_health_category,women_health_role,phase_version,variables,catalog_filename,survey_id,data_label
Camarões,CMBR61FL.DTA,CMBR61FL,BR,gestacao_parto,"Nascimentos, gestações e histórico obstétrico",61,1062,CMBR61DT.zip,337,
Camarões,CMBR71FL.DTA,CMBR71FL,BR,gestacao_parto,"Nascimentos, gestações e histórico obstétrico",71,1212,CMBR71DT.zip,511,
Camarões,CMWI22FL.DTA,CMWI22FL,WI,socioeconomico,Índice de riqueza e contexto socioeconômico,22,3,CMWI22DT.zip,38,
Camarões,CMWI31FL.DTA,CMWI31FL,WI,socioeconomico,Índice de riqueza e contexto socioeconômico,31,3,CMWI31DT.zip,101,
Camarões,CMIR22FL.DTA,CMIR22FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,22,2351,CMIR22DT.zip,38,
Camarões,CMIR31FL.DTA,CMIR31FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,31,2966,CMIR31DT.zip,101,
Camarões,CMIR44FL.dta,CMIR44FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,44,4433,CMIR44DT.zip,232,
Camarões,CMIR61FL.DTA,CMIR61FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,61,4378,CMIR61DT.zip,337,
Camarões,CMIR71FL.DTA,CMIR71FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,71,5102,CMIR71DT.zip,511,
Camarões,CMIR82FL.DTA,CMIR82FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,82,3158,CMIR82DT.zip,563,
Camarões,CMSQ21FL.DTA,CMSQ21FL,SQ,servicos_saude,Disponibilidade e infraestrutura de serviços,21,266,CMSQ21DT.zip,38,
Chade,TDHW31FL.DTA,TDHW31FL,HW,antropometria,"Peso, altura, anemia e medidas corporais",31,7,TDHW31DT.zip,83,
Chade,TDHW41FL.DTA,TDHW41FL,HW,antropometria,"Peso, altura, anemia e medidas corporais",41,7,TDHW41DT.zip,215,
Chade,TDCR31FL.DTA,TDCR31FL,CR,casal_parceiro,Informações conjugais e do parceiro,31,1413,TDCR31DT.zip,83,
Chade,TDCR41FL.DTA,TDCR41FL,CR,casal_parceiro,Informações conjugais e do parceiro,41,2526,TDCR41DT.zip,215,
Chade,TDCR71FL.DTA,TDCR71FL,CR,casal_parceiro,Informações conjugais e do parceiro,71,2317,TDCR71DT.zip,465,
